Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,,3fefef26ea454c1c8e86c9d08bb78a7df964a5f4,28138,2,25580,25580,28138,0,0
true,,1e883d702c1c4c90f26b22d9269c36baaf2d952a,25640,1,25640,25640,25640,0,0
true,,2dfde97d554070c077f607e27b862ead65ef2dcf,24864,1,24864,24864,24864,0,0
true,,b43e1f98bf29808a3fcb3896f439c9cd46b25513,24860,1,24860,24860,24860,0,0
true,,6ba348115726b75f54fcee5678edf0fa79d387fc,23520,1,23520,23520,23520,0,0
true,,bdc5373708df81258e7d73ee22acc7b743e9f391,23480,1,23480,23480,23480,0,0
true,,000000c52b33fa71614810224771dc8f3255b220,23360,1,22222,0,23360,0,0
true,,f4ee45fd7ea8be4947ce1394f9d0e9502246db04,23268,1,23268,23268,23268,0,0
true,,282ebcacba114fb8c13c3de8cc523d8f3da35e62,23180,1,23180,23180,23180,0,0
true,,000000000000ce024a2c86451474057d3ad8ea33,23020,1,6937,0,23019,1,2
true,,25c2a97a03a1a4d9ec3066fbdfb77264c0e6c359,22764,1,22764,22764,22764,0,0
true,,a54da2581dd4828e4aa00638aab835119500a284,22600,1,22600,0,22600,0,0
true,,94fa68d30837dcffa23d02e06d57dac3af82db08,22491,1,22491,22491,22491,0,0
true,,547670d4ed5f8908662300fdaeb599ee5743ef65,21840,1,21840,21840,21840,0,0
true,,21e15dedf234d52bf911b505658c33397ac35fc2,21677,1,20712,0,21677,0,0
true,,d3ae6e0c77f5b06c62a0782de6d4de6cf6aea05f,21672,1,21672,21672,21672,0,0
true,,da2497556ef7d06097979310faa04aec748fdc77,20874,1,20874,20874,20874,0,0
true,,d727611579e5b45c4d4db1cb8a08ee14196b472d,20853,1,20853,20853,20853,0,0
true,,0000000057a888b5dc0a81f02c6f5c3b7d16b183,20730,1,20712,0,20730,0,0
true,,8be4db5926232bc5b02b841dbede8161924495c4,20300,1,19796,0,20300,0,0
true,,6f21854a903f396efdd36c2d145af973e2efe004,20240,1,19307,0,20240,0,0
true,,f4ce0dce452a21d70434f0bbe64aea4671848a12,19980,1,19980,19980,19980,0,0
true,,b8752d723edbf264b93306e62f4571a2caa51678,19404,1,19404,19404,19404,0,0
true,,c6e6dd6a0c61651d1bc055dc1c22418a729d41bb,19050,1,18744,0,19050,0,0
true,,00000000553a85582988aa8ad43fb7dda2466bc7,18784,1,14292,0,18784,0,0
true,,29dfaaedacf03910a2bc0588fc46edf18ff5c72f,18608,1,1,0,18608,0,0
true,,00000000002bde777710c370e08fc83d61b2b8e1,18412,2,18193,0,18412,0,0
true,,9ab1a18810dd054271d53edad8b0cc2483954588,18354,1,18354,18354,18354,0,0
