Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,,2bf1623d81cb355211d7aa8170e7c887eefb4ffa,7,1,7,7,4,2,5
true,,b1a71b3526a3494857c4ef873f7702a11e2e3265,5,1,5,5,1,1,5
true,,b21ee60217b1cc9580578c82d5edbcea09e8983d,5,1,5,5,2,2,5
true,customIcoToken,0e368aa8e38ca2080c82c0ddb06b7d613e871c7d,5,4,5,2,1,1,5
true,,59bd11f8a5a833f26723d044cbb501a40c9c5e43,5,1,5,5,1,1,5
true,,2515b598ba3d02fa6977456d11955c04d0fbc845,10,5,9,5,6,1,5
true,,d248d9b2c82e2636406a66892994622a158a59eb,5,1,5,5,1,1,5
true,,591a9018ee6d04823b7965a49112aa0835ea7b48,7,1,7,7,4,2,5
true,Metapod,00000000002b13cccec913420a21e4d11b2dcd3c,6,2,5,5,2,1,5
true,,6c0644ad0d3a961608ba5459bce291400e3207ef,4,4,3,0,1,1,4
true,,4261e2085975fea6618d15e58a9b6abddaf8d3bf,4,4,3,0,1,1,4
true,,9bfe89b3e37b0c48dede55e33467eb4bef4c629e,4,1,4,4,2,2,4
true,InvoiceFactory,f381a14cab83b435d72f389d815d3f7178b73faf,10,1,10,10,8,2,4
true,,a3079310596e557d3b8a9d0e03b14287a56d7b1e,4,4,3,0,1,1,4
true,,bdeffe00197580dc2dcd8aa9dc81ae1889709a1a,3,1,3,3,1,1,3
true,,62a86d2850ee76b579637f860dcf295692b62b54,3,3,2,0,1,1,3
true,,68cc73b1610637896718c439404c57cf2c22284d,4,1,4,4,2,1,3
true,,8546130f6c53501649dcf3fdcd7e90cf2cc1f894,6,3,2,0,4,1,3
true,,91274c22a8b23587272d18d0ce4aabc5b8bcb0be,3,1,3,3,1,1,3
true,,a728165138a90c9403aa9a22053daa34b0302f42,3,3,2,0,1,1,3
true,SwapperFactory,aa548618371d95cb0cb211bbbf37b26be3c744cc,19,1,19,19,17,1,3
true,,bad5531e175167cd89e8fdc099b3ec43d83c48b7,4,4,2,0,2,1,3
true,,bf4d88af4ef210ccf5b4383372b85ee8655cb896,354,4,2,0,352,1,3
true,,dd0a463d2f63d666e633ba0c5e5be79ecefea65b,5,4,3,0,3,1,3
true,,ed6f56fad51382822a5eaaa103bdb620d5acc280,33,1,2,0,31,1,3
